index,customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,cred_hist_length,Current_loan_status
30,31.0,21,11520,1,5.0,1,0,2000.0,11.12,1,3,1
31,32.0,25,120000,0,2.0,2,0,32000.0,6.62,10,2,0
32,33.0,26,95000,0,7.0,5,1,31050.0,14.17,10,3,1
33,34.0,25,306000,0,2.0,4,1,24250.0,13.85,10,3,0
34,35.0,26,300000,2,10.0,1,1,7800.0,13.49,6,4,0
35,36.0,21,12000,1,5.0,0,0,2500.0,7.51,1,4,1
36,37.0,22,48000,0,1.0,0,3,30000.0,18.39,10,2,1
37,38.0,24,64000,0,8.0,4,2,30000.0,14.54,10,3,1
38,39.0,25,75000,0,4.0,5,2,30000.0,16.89,10,4,1
39,40.0,23,71500,0,3.0,4,2,30000.0,11.01155276552426,10,4,1
40,41.0,26,62050,0,6.0,1,3,30000.0,17.99,10,2,1
41,42.0,24,12000,1,4.0,2,0,2500.0,12.69,4,3,1
42,43.0,26,300000,2,10.0,2,0,20000.0,7.88,10,4,0
43,44.0,23,300000,1,1.0,0,4,24250.0,19.41,10,2,0
44,45.0,26,300000,1,9.0,5,0,10000.0,10.38,6,4,0
45,46.0,26,300000,2,0.0,0,2,25000.0,15.33,10,3,0
46,47.0,25,300000,2,9.0,5,3,18000.0,16.45,10,3,0
47,48.0,26,80690,0,8.0,3,0,30000.0,7.49,10,3,0
48,49.0,22,66300,0,4.0,1,0,30000.0,12.69,10,3,0
49,50.0,26,89028,0,0.0,4,0,30000.0,6.62,10,3,0
50,51.0,24,78000,0,4.0,4,2,30000.0,11.01155276552426,10,4,1
51,52.0,23,78000,0,7.0,4,4,30000.0,18.62,10,3,1
52,53.0,23,92004,0,6.0,3,1,30000.0,15.23,10,3,1
53,54.0,23,97000,0,7.0,2,0,30000.0,10.65,10,2,0
54,55.0,25,120000,0,9.0,0,0,30000.0,7.9,10,4,0
55,56.0,26,280000,0,4.0,3,1,10000.0,15.96,6,3,0
56,57.0,26,277104,0,0.0,2,0,20000.0,11.48,10,3,0
57,58.0,23,277000,1,3.0,3,0,35000.0,11.01155276552426,10,4,0
58,59.0,25,128000,0,9.0,3,0,30000.0,7.29,10,4,0
59,60.0,24,12000,1,2.0,2,3,1750.0,11.01155276552426,4,3,0
60,61.0,21,131000,0,0.0,2,0,30000.0,5.99,10,4,0
61,62.0,22,275000,1,6.0,2,0,12000.0,11.58,10,2,0
62,63.0,26,263000,2,0.0,0,0,10000.0,11.01155276552426,6,4,1
63,64.0,25,221850,2,9.0,1,2,25000.0,15.7,10,2,1
64,65.0,22,70000,0,6.0,0,2,29100.0,15.99,10,3,1
65,66.0,22,12000,2,7.0,0,2,1500.0,14.84,2,3,0
66,67.0,26,260000,1,10.0,5,0,28000.0,10.99,10,3,0
67,68.0,25,259000,2,9.0,5,2,20000.0,14.42,10,2,0
68,69.0,24,255000,2,9.0,0,0,9600.0,6.99,4,2,0
69,70.0,25,250000,0,2.0,1,1,25000.0,13.49,10,4,0
70,71.0,25,12000,1,0.0,1,1,3000.0,11.01155276552426,5,3,1
71,72.0,22,56950,0,6.0,1,0,28000.0,11.01155276552426,10,2,0
72,73.0,21,12000,1,6.0,0,1,3000.0,13.61,1,3,1
73,74.0,23,65000,0,2.0,0,0,28000.0,7.9,10,2,0
74,75.0,26,85000,0,2.0,2,0,28000.0,7.49,10,3,0
75,76.0,26,12000,1,2.0,0,0,6100.0,7.51,6,3,1
76,77.0,22,88000,0,6.0,2,0,28000.0,9.91,10,3,0
77,78.0,21,12000,1,0.0,3,1,4200.0,13.48,1,4,1
78,79.0,22,12000,1,6.0,4,0,4750.0,7.14,2,2,1
79,80.0,24,83004,0,0.0,2,2,28000.0,15.99,10,4,1
80,81.0,24,250000,0,2.0,0,1,18000.0,12.98,10,3,0
81,82.0,144,250000,0,4.0,2,1,4800.0,13.57,4,3,0
82,83.0,25,100000,0,5.0,4,0,28000.0,12.69,10,3,0
83,84.0,26,110000,0,10.0,0,0,28000.0,8.9,10,2,0
84,85.0,26,12000,1,0.0,4,0,2700.0,11.01155276552426,6,4,1
85,86.0,22,108000,0,6.0,0,0,28000.0,11.01155276552426,10,4,0
86,87.0,23,151200,0,7.0,4,0,28000.0,11.11,10,2,0
87,88.0,24,69000,0,2.0,5,0,27600.0,11.01155276552426,10,2,0
88,89.0,21,12000,2,5.0,4,3,3250.0,15.68,1,3,1
89,90.0,22,70000,0,4.0,0,1,27500.0,13.06,10,3,1
90,91.0,22,240000,1,6.0,3,0,25000.0,11.01155276552426,10,2,0
91,92.0,26,73200,0,5.0,2,2,27050.0,15.62,10,2,1
92,93.0,24,83000,0,5.0,3,1,27000.0,13.49,10,2,1
93,94.0,24,73399,0,0.0,2,2,27000.0,11.01155276552426,10,3,1
94,95.0,23,62500,0,7.0,1,0,26000.0,11.71,10,2,0
95,96.0,23,120000,0,1.0,0,0,25600.0,12.69,10,3,0
96,97.0,24,12360,1,2.0,1,1,1600.0,13.57,4,3,0
97,98.0,22,60000,0,0.0,2,0,25475.0,10.99,10,3,0
98,99.0,25,234000,2,3.0,1,1,20000.0,14.27,10,4,0
99,100.0,24,234000,1,8.0,5,0,20000.0,8.88,10,4,0
100,101.0,26,234000,2,10.0,5,0,21600.0,12.18,10,3,0
101,102.0,25,221004,2,6.0,4,2,11900.0,14.42,10,3,1
102,103.0,26,232500,2,0.0,1,1,25000.0,14.17,10,2,0
103,104.0,25,230000,2,5.0,1,1,35000.0,13.99,10,4,0
104,105.0,23,83000,0,7.0,0,0,25300.0,10.99,10,3,0
105,106.0,22,12600,2,4.790161244517371,3,0,2000.0,5.42,2,4,1
106,107.0,25,12600,1,3.0,3,1,1750.0,13.61,5,3,0
107,108.0,21,42500,0,3.0,0,1,25000.0,12.73,10,3,1
108,109.0,24,41000,0,2.0,5,2,25000.0,11.01155276552426,10,3,1
109,110.0,25,12816,1,0.0,4,1,3000.0,12.87,5,4,1
110,111.0,24,12960,2,1.0,5,0,3650.0,9.91,4,3,1
111,112.0,26,226000,2,4.0,5,0,20000.0,11.49,10,4,0
112,113.0,25,225000,2,0.0,5,3,30000.0,19.91,10,2,0
113,114.0,26,213000,2,6.0,0,0,35000.0,10.65,10,2,1
114,115.0,24,225000,0,0.0,1,0,6000.0,11.01155276552426,4,4,0
115,116.0,24,12960,2,0.0,4,0,4500.0,11.83,4,4,1
116,117.0,23,12996,1,0.0,4,1,2400.0,13.49,3,2,1
117,118.0,22,42000,0,6.0,1,2,25000.0,14.59,10,2,1
118,119.0,26,48000,0,2.0,0,1,25000.0,9.64,10,4,1
119,120.0,25,12996,1,1.0,1,2,3600.0,14.59,5,3,1
120,121.0,22,12996,1,1.0,0,0,4750.0,11.01155276552426,2,3,1
121,122.0,25,42360,0,1.0,0,3,25000.0,16.35,10,3,1
122,123.0,21,49000,0,4.0,0,1,25000.0,10.99,10,2,1
123,124.0,25,225000,2,0.0,2,4,25000.0,18.67,10,2,0
124,125.0,26,225000,0,1.0,0,0,3000.0,9.32,6,4,0
125,126.0,23,225000,0,8.0,4,0,7500.0,8.63,3,2,0
126,127.0,26,225000,2,2.0,2,0,25000.0,10.08,10,2,0
127,128.0,22,49464,0,5.0,3,1,25000.0,11.83,10,3,1
128,129.0,23,50000,0,1.0,4,0,25000.0,7.9,10,3,0
129,130.0,25,50000,0,4.0,5,0,25000.0,5.99,10,2,1
130,131.0,24,44000,0,2.0,4,2,25000.0,15.33,10,2,1
131,132.0,23,50000,0,1.0,2,0,25000.0,11.83,10,4,0
132,133.0,22,50004,0,0.0,2,0,25000.0,10.36,10,2,0
133,134.0,22,50004,0,3.0,2,1,25000.0,12.23,10,3,1
134,135.0,22,52000,0,2.0,0,0,25000.0,11.11,10,4,0
135,136.0,23,13200,1,3.0,4,0,4950.0,7.9,3,4,1
136,137.0,24,220000,2,1.0,0,0,25000.0,11.58,10,2,0
137,138.0,23,216000,2,5.0,4,0,21000.0,8.9,10,3,0
138,139.0,25,216000,2,2.0,0,2,25000.0,16.07,10,3,0
139,140.0,26,216000,2,10.0,0,1,20000.0,14.22,10,2,0
140,141.0,23,215000,2,7.0,1,1,35000.0,14.79,10,3,0
141,142.0,26,215000,2,11.0,0,0,12000.0,7.88,10,2,0
142,143.0,23,52000,0,1.0,3,1,25000.0,13.22,10,2,1
143,144.0,26,46000,0,2.0,4,2,25000.0,11.86,10,4,1
144,145.0,22,53000,0,5.0,0,1,25000.0,13.43,10,4,1
145,146.0,26,47000,0,0.0,5,2,25000.0,15.28,10,2,1
146,147.0,23,47000,0,1.0,2,3,25000.0,17.93,10,2,1
147,148.0,23,13200,2,2.0,0,0,1400.0,9.25,3,4,0
148,149.0,21,13200,1,0.0,2,1,4500.0,12.98,1,4,1
149,150.0,22,210000,2,6.0,2,0,16000.0,10.62,10,4,0
150,151.0,26,210000,1,10.0,3,0,22000.0,11.83,10,4,0
151,152.0,26,48000,0,5.0,2,4,25000.0,18.43,10,2,1
152,153.0,22,54996,0,6.0,0,0,25000.0,11.01155276552426,10,4,0
153,154.0,24,55000,0,4.0,5,2,25000.0,11.01155276552426,10,4,1
154,155.0,23,55000,0,4.0,0,0,25000.0,11.36,10,3,0
155,156.0,23,55000,0,4.0,0,2,25000.0,15.65,10,3,1
156,157.0,24,55164,0,8.0,3,1,25000.0,13.22,10,4,1
157,158.0,26,56000,0,4.0,4,1,25000.0,12.87,10,2,1
158,159.0,24,203500,1,8.0,1,1,20000.0,13.04,10,3,0
159,160.0,23,190000,2,5.0,0,4,22000.0,17.58,10,3,1
160,161.0,23,13920,1,2.0,3,3,7750.0,17.04,3,4,1
161,162.0,24,60000,0,0.0,3,0,25000.0,10.99,10,3,1
162,163.0,24,60000,0,2.0,3,0,25000.0,11.11,10,3,1
163,164.0,26,54000,0,7.0,4,2,25000.0,14.83,10,2,1
164,165.0,23,14000,1,2.0,4,2,4000.0,11.01155276552426,3,3,1
165,166.0,24,200000,0,8.0,1,0,12000.0,12.69,10,2,0
166,167.0,24,200000,2,8.0,5,1,12000.0,13.49,10,2,0
167,168.0,21,200000,2,5.0,0,1,16000.0,14.65,10,4,0
168,169.0,25,54000,0,3.0,5,3,25000.0,16.82,10,4,1
169,170.0,23,60000,0,3.0,3,1,25000.0,12.73,10,3,1
170,171.0,23,60000,0,7.0,3,0,25000.0,10.25,10,4,1
171,172.0,21,60000,0,6.0,0,0,25000.0,10.99,10,4,1
172,173.0,25,61959,0,9.0,1,1,25000.0,12.73,10,2,1
173,174.0,22,56400,0,2.0,5,2,25000.0,14.96,10,3,1
174,175.0,23,200000,2,7.0,0,0,28000.0,11.01155276552426,10,2,0
175,176.0,21,200000,2,2.0,4,1,25000.0,13.99,10,2,0
176,177.0,24,200000,2,3.0,2,0,24000.0,7.49,10,4,0
177,178.0,26,200000,2,4.0,0,1,15000.0,14.79,10,3,0
178,179.0,25,200000,2,2.0,4,0,15500.0,11.99,10,2,0
179,180.0,24,200000,0,8.0,0,0,10000.0,8.49,4,4,0
180,181.0,24,66000,0,3.0,0,0,25000.0,9.91,10,2,1
181,182.0,22,66000,0,6.0,0,1,25000.0,13.06,10,3,1
182,183.0,22,200000,2,6.0,4,0,9000.0,6.17,2,4,0
183,184.0,144,200000,2,4.0,0,0,6000.0,11.86,4,2,0
184,185.0,25,200000,0,5.0,0,2,18000.0,16.32,10,3,0
185,186.0,25,200000,2,2.0,2,0,12000.0,10.38,10,2,0
186,187.0,25,200000,2,9.0,3,1,23050.0,14.35,10,3,0
187,188.0,24,200000,2,8.0,4,0,20000.0,11.01155276552426,10,3,0
188,189.0,24,60000,0,2.0,4,3,25000.0,11.01155276552426,10,2,1
189,190.0,21,14400,1,0.0,5,0,3000.0,11.01155276552426,1,4,1
190,191.0,26,66996,0,10.0,3,2,25000.0,15.21,10,2,1
191,192.0,23,67000,0,3.0,0,0,25000.0,7.9,10,4,1
192,193.0,24,67000,0,2.0,2,0,25000.0,10.99,10,3,1
193,194.0,24,68000,0,5.0,3,2,25000.0,14.09,10,3,1
194,195.0,25,69000,0,9.0,3,2,25000.0,17.49,10,2,1
195,196.0,25,200000,2,0.0,0,0,12000.0,11.48,10,3,0
196,197.0,26,188000,2,10.0,2,3,20000.0,17.74,10,2,1
197,198.0,26,200000,2,4.0,3,1,3000.0,13.92,6,3,0
198,199.0,25,69996,0,9.0,0,2,25000.0,15.21,10,3,1
199,200.0,22,14400,1,2.0,1,0,4000.0,10.99,2,3,1
200,201.0,24,70000,0,3.0,0,0,25000.0,11.86,10,4,1
201,202.0,24,14400,1,5.0,3,0,6000.0,7.49,4,3,1
202,203.0,24,56100,0,7.0,1,2,25000.0,16.49,10,4,1
203,204.0,25,66000,0,9.0,2,2,25000.0,15.33,10,2,1
204,205.0,26,66000,0,3.0,5,0,25000.0,11.58,10,4,1
205,206.0,25,14400,1,7.0,0,0,5375.0,5.79,5,2,1
206,207.0,25,72612,0,9.0,1,1,25000.0,13.11,10,2,1
207,208.0,23,74000,0,3.0,1,0,25000.0,10.36,10,3,1
208,209.0,25,75000,0,9.0,4,0,25000.0,10.36,10,2,1
209,210.0,24,192000,0,0.0,1,1,22000.0,11.01155276552426,10,2,0
210,211.0,21,192000,2,123.0,2,0,20000.0,6.54,10,4,0
211,212.0,25,191000,2,1.0,1,0,10000.0,12.53,5,4,0
212,213.0,26,190300,2,5.0,3,0,15000.0,11.01155276552426,10,3,0
213,214.0,22,190000,2,3.0,2,1,10000.0,11.01155276552426,2,3,0
214,215.0,24,75000,0,4.0,0,0,25000.0,10.25,10,4,1
215,216.0,22,71000,0,1.0,0,2,25000.0,15.95,10,4,1
216,217.0,26,190000,2,3.0,2,0,20000.0,12.18,10,4,0
217,218.0,23,189996,1,0.0,3,0,24000.0,11.83,10,3,0
219,220.0,23,78000,0,1.0,2,0,25000.0,10.62,10,3,1
220,221.0,23,78504,0,7.0,2,0,25000.0,10.74,10,3,1
221,222.0,25,186000,1,9.0,2,0,10000.0,10.25,5,4,0
222,223.0,24,185000,2,4.790161244517371,0,0,35000.0,12.42,10,2,0
223,224.0,25,185000,0,6.0,2,1,15000.0,15.27,10,2,0
224,225.0,24,62050,0,8.0,1,2,25000.0,15.33,10,2,1
225,226.0,23,79416,0,7.0,2,2,25000.0,15.21,10,2,1
226,227.0,21,14400,1,4.0,2,1,6250.0,14.72,1,2,1
227,228.0,24,79631,0,8.0,3,2,25000.0,15.7,10,2,1
228,229.0,24,79632,0,0.0,0,1,25000.0,13.35,10,4,1
229,230.0,21,14400,2,0.0,1,1,1500.0,11.01155276552426,1,4,0
230,231.0,24,80000,0,6.0,0,0,25000.0,6.62,10,2,1
231,232.0,26,80000,0,5.0,4,1,25000.0,13.61,10,4,1
232,233.0,22,185000,0,4.0,1,0,25000.0,11.36,10,2,0
233,234.0,26,185000,1,10.0,3,0,5000.0,7.68,6,2,0
234,235.0,24,184992,0,7.0,5,2,22000.0,14.46,10,4,0
235,236.0,23,184000,1,5.0,0,0,2500.0,11.83,3,2,0
236,237.0,24,172000,2,6.0,4,1,20000.0,13.47,10,4,1
237,238.0,24,183000,2,2.0,1,0,20000.0,11.49,10,3,0
238,239.0,22,183000,2,3.0,0,0,1000.0,11.01155276552426,2,2,0
239,240.0,25,182952,2,9.0,3,0,15000.0,6.03,10,3,0
240,241.0,23,74004,0,7.0,4,3,25000.0,16.35,10,4,1
241,242.0,26,74004,0,10.0,4,2,25000.0,11.01155276552426,10,4,1
242,243.0,25,81000,0,5.0,4,0,25000.0,7.29,10,3,1
243,244.0,23,81600,0,1.0,1,0,25000.0,11.36,10,3,1
244,245.0,24,82000,0,8.0,2,0,25000.0,10.25,10,2,0
245,246.0,24,83000,0,5.0,0,0,25000.0,11.12,10,3,0
246,247.0,24,83000,0,5.0,3,2,25000.0,12.92,10,3,0
247,248.0,24,180000,0,8.0,0,3,18000.0,18.64,10,4,0
248,249.0,23,180000,2,8.0,3,0,28000.0,7.51,10,3,0
249,250.0,23,14400,1,2.0,5,3,4000.0,16.7,3,2,1
250,251.0,22,14400,1,0.0,3,0,2100.0,11.14,2,4,0
251,252.0,22,84500,0,6.0,3,4,25000.0,18.3,10,4,0
252,253.0,24,85000,0,5.0,1,0,25000.0,10.62,10,4,0
253,254.0,24,180000,2,7.0,2,0,14000.0,11.99,10,2,0
254,255.0,26,180000,2,2.0,2,0,12000.0,9.63,10,4,0
255,256.0,25,142800,2,9.0,1,4,10000.0,18.25,5,4,1
256,257.0,23,14664,2,0.0,4,1,6000.0,11.01155276552426,3,4,1
257,258.0,24,87000,0,8.0,5,2,25000.0,14.84,10,3,0
258,259.0,24,75000,0,0.0,2,3,25000.0,14.7,10,3,1
259,260.0,23,76000,0,7.0,4,2,25000.0,16.02,10,4,1
260,261.0,23,66215,0,1.0,1,2,25000.0,15.37,10,2,1
261,262.0,25,90000,0,9.0,1,0,25000.0,10.99,10,4,0
262,263.0,21,15000,1,0.0,5,0,6200.0,7.9,1,2,1
263,264.0,26,180000,1,2.0,3,0,25000.0,10.99,10,4,0
264,265.0,24,180000,1,8.0,0,0,21000.0,11.48,10,3,0
265,266.0,25,180000,1,9.0,1,1,20000.0,14.26,10,4,0
266,267.0,26,180000,1,0.0,5,0,10000.0,8.0,6,4,0
267,268.0,25,180000,2,3.0,2,0,9950.0,11.26,5,2,0
268,269.0,23,15000,1,7.0,1,0,4475.0,11.01155276552426,3,4,1
269,270.0,23,78000,0,2.0,2,2,25000.0,16.32,10,3,1
270,271.0,25,66300,0,3.0,1,3,25000.0,17.93,10,4,1
271,272.0,23,90000,0,0.0,4,0,25000.0,11.36,10,3,0
272,273.0,24,79000,0,9.0,4,2,25000.0,14.96,10,4,1
273,274.0,24,91800,0,4.0,3,1,25000.0,13.43,10,3,0
274,275.0,25,92000,0,6.0,5,0,25000.0,12.69,10,3,0
275,276.0,24,92000,0,1.0,2,1,25000.0,12.73,10,4,0
276,277.0,23,93600,0,3.0,2,2,25000.0,15.21,10,4,0
277,278.0,23,15000,2,1.0,1,1,1750.0,12.68,3,3,0
278,279.0,23,70550,0,3.0,1,4,25000.0,19.04,10,4,1
279,280.0,25,83800,0,2.0,4,2,25000.0,15.95,10,3,1
280,281.0,26,175000,2,3.0,2,0,2600.0,8.9,6,4,0
281,282.0,25,175000,2,10.0,5,0,8000.0,7.9,5,2,0
282,283.0,22,175000,2,6.0,0,0,18000.0,11.01155276552426,10,2,0
283,284.0,23,175000,2,8.0,3,0,21000.0,11.99,10,3,0
284,285.0,23,15000,1,4.0,4,1,4000.0,13.98,3,4,1
285,286.0,23,15000,1,4.0,2,0,4600.0,10.99,3,2,1
286,287.0,22,88000,0,6.0,4,2,25000.0,15.58,10,2,1
287,288.0,25,74800,0,2.0,1,0,25000.0,10.99,10,2,1
288,289.0,25,88000,0,0.0,2,2,25000.0,14.96,10,4,1
289,290.0,25,15000,1,2.0,5,2,1750.0,15.31,5,4,0
290,291.0,26,88000,0,2.0,2,2,25000.0,15.65,10,3,1
291,292.0,25,100000,0,1.0,2,0,25000.0,9.33,10,4,0
292,293.0,23,15000,2,0.0,3,1,3600.0,13.47,3,4,1
293,294.0,24,102400,0,8.0,3,0,25000.0,10.36,10,3,0
294,295.0,24,92000,0,1.0,5,3,25000.0,16.77,10,4,1
295,296.0,23,93000,0,0.0,4,2,25000.0,14.59,10,2,1
296,297.0,22,175000,0,6.0,2,1,3500.0,11.91,2,2,0
297,298.0,23,175000,2,3.0,0,0,7200.0,8.38,3,3,0
298,299.0,25,174708,0,9.0,2,0,9000.0,10.59,5,3,0
299,300.0,25,174000,2,2.0,4,1,8800.0,14.27,5,3,0
300,301.0,26,174000,0,8.0,4,0,12000.0,12.53,10,4,0
301,302.0,25,162000,2,5.0,4,3,25000.0,16.0,10,3,1
302,303.0,26,173467,2,10.0,2,0,10000.0,11.71,6,4,0
303,304.0,21,15000,1,0.0,5,1,3175.0,11.54,1,3,1
304,305.0,25,96000,0,2.0,5,3,25000.0,15.68,10,4,1
305,306.0,21,15120,2,0.0,0,0,1500.0,10.59,1,2,0
306,307.0,24,97908,0,8.0,5,2,25000.0,12.61,10,2,1
307,308.0,26,110000,0,3.0,3,1,25000.0,11.01155276552426,10,2,0
308,309.0,23,15204,2,7.0,3,0,2800.0,8.49,3,3,1
309,310.0,25,159600,0,0.0,3,2,30000.0,17.27,10,4,1
310,311.0,24,171500,0,6.0,4,0,18000.0,8.9,10,4,0
311,312.0,25,170004,2,3.0,1,0,10000.0,11.11,5,4,0
312,313.0,24,158004,0,0.0,5,2,25000.0,14.59,10,2,1
313,314.0,26,170000,0,0.0,2,0,13000.0,12.42,10,3,0
314,315.0,24,83300,0,0.0,1,2,25000.0,11.01155276552426,10,2,1
315,316.0,24,110000,0,7.0,5,2,25000.0,15.7,10,2,0
316,317.0,22,15360,1,7.0,5,0,2500.0,12.53,2,3,1
317,318.0,25,134300,0,3.0,1,2,5000.0,16.49,5,2,1
318,319.0,25,170000,2,2.0,0,0,20000.0,7.49,10,2,0
319,320.0,22,100580,0,6.0,4,2,25000.0,14.96,10,2,1
320,321.0,25,113000,0,7.0,1,1,25000.0,12.73,10,4,0
321,322.0,24,120000,0,8.0,0,0,25000.0,10.65,10,4,0
322,323.0,25,120000,0,6.0,1,0,1000000.0,10.74,10,2,1
323,323.0,25,120000,0,6.0,1,0,1000000.0,10.74,10,2,1
324,324.0,23,120000,0,7.0,0,0,25000.0,9.99,10,2,0
325,324.0,23,120000,0,7.0,0,0,25000.0,9.99,10,2,0
326,325.0,24,91800,0,5.0,1,2,25000.0,15.33,10,2,1
327,326.0,21,15600,1,5.0,2,0,1000.0,7.29,1,4,0
328,327.0,26,108000,0,2.0,3,2,25000.0,15.05,10,3,1
329,328.0,26,129996,0,6.0,3,0,25000.0,10.75,10,3,0
330,329.0,23,130000,0,4.0,0,2,25000.0,16.02,10,2,0
331,330.0,23,130000,0,7.0,2,0,25000.0,11.49,10,4,0
332,331.0,25,170000,1,4.0,0,0,20000.0,12.53,10,4,0
333,332.0,26,170000,2,0.0,2,1,12000.0,13.57,10,2,0
334,333.0,22,169000,0,1.0,3,0,14000.0,11.14,10,3,0
335,334.0,26,168750,0,10.0,1,1,24250.0,12.87,10,3,0
336,335.0,23,168600,0,3.0,0,0,20000.0,11.58,10,3,0
337,336.0,24,168288,0,5.0,5,0,1800.0,11.12,4,3,0
338,337.0,25,168000,2,2.0,3,0,35000.0,10.65,10,2,0
339,338.0,24,133300,0,6.0,4,0,25000.0,10.37,10,2,0
340,339.0,24,15600,1,5.0,5,0,3300.0,6.39,4,4,1
341,340.0,24,134000,0,8.0,3,2,25000.0,16.07,10,3,0
342,341.0,25,134000,0,7.0,1,0,25000.0,10.62,10,2,0
343,342.0,25,15600,1,0.0,2,4,3200.0,18.09,5,2,1
344,343.0,25,135000,0,5.0,0,0,25000.0,11.36,10,4,0
345,344.0,26,135660,0,10.0,4,0,25000.0,12.53,10,4,0
346,345.0,25,145000,0,0.0,0,0,25000.0,9.99,10,4,0
347,346.0,23,150000,0,4.0,0,0,25000.0,10.36,10,3,0
348,347.0,23,165000,2,3.0,0,0,9600.0,5.99,3,3,0
349,348.0,22,153000,2,5.0,4,2,24000.0,15.62,10,2,1
350,349.0,24,165000,2,5.0,3,0,20000.0,10.37,10,4,0
351,350.0,25,165000,2,0.0,5,4,25000.0,19.74,10,4,0
352,351.0,21,165000,2,5.0,0,0,20000.0,6.91,10,4,0
353,352.0,23,16000,1,7.0,1,0,6000.0,7.9,3,2,1
354,353.0,23,16000,2,3.0,4,1,2275.0,13.06,3,4,0
355,354.0,23,16000,1,7.0,3,0,2000.0,6.39,3,3,0
356,355.0,23,148000,0,1.0,4,3,25000.0,14.93,10,3,1
357,356.0,23,16000,2,1.0,1,1,5600.0,12.84,3,4,1
358,357.0,24,16020,1,3.0,2,3,3625.0,17.14,4,2,1
359,358.0,22,16094,2,2.0,2,0,5500.0,7.14,2,3,1
360,359.0,25,175000,0,2.0,3,0,25000.0,8.9,10,2,0
361,360.0,22,16200,1,6.0,3,0,2000.0,12.42,2,3,0
362,361.0,24,185000,0,7.0,5,1,25000.0,12.68,10,2,0
363,362.0,25,162000,0,9.0,3,1,25000.0,11.03,10,2,0
364,363.0,26,161000,0,10.0,2,0,30000.0,7.9,10,4,0
365,364.0,22,160000,2,0.0,1,0,35000.0,10.65,10,4,0
366,365.0,25,225000,0,5.0,2,0,25000.0,11.86,10,4,0
367,366.0,25,16400,1,1.0,3,0,5000.0,8.94,5,4,1
368,367.0,23,16500,1,6.0,2,0,4375.0,9.63,3,4,1
369,368.0,25,49500,0,6.0,3,1,24750.0,14.22,10,3,1
370,369.0,23,60000,0,4.0,4,0,24750.0,9.33,10,3,1
371,370.0,24,84200,0,8.0,1,1,24500.0,13.85,10,4,0
372,371.0,22,16800,2,5.0,0,0,2000.0,10.65,2,2,0
373,372.0,24,92000,0,8.0,1,0,24500.0,11.46,10,4,0
374,373.0,23,160000,2,5.0,3,0,35000.0,7.66,10,2,0
375,374.0,24,160000,2,9.0,2,3,12000.0,16.77,10,4,0
376,375.0,25,160000,2,1.0,3,0,12000.0,9.63,10,4,0
377,376.0,26,160000,0,6.0,3,1,25000.0,12.23,10,4,0
378,377.0,25,125800,2,0.0,1,2,10000.0,14.09,5,4,1
379,378.0,25,54000,0,2.0,3,1,24250.0,13.98,10,4,1
380,379.0,23,62500,0,1.0,0,0,24250.0,10.62,10,4,1
